from,to,weight,credible
Hallucinations,Delusions,0.14,0
Hallucinations,Bizarre,0.05,0
Hallucinations,FormalThought,-0.06,0
Hallucinations,Flattening,0.01,0
Hallucinations,Avolition,0.1,0
Hallucinations,Anhedonia,0.16,0
Hallucinations,Attention,-0.02,0
Hallucinations,Alogia,0.04,0
Hallucinations,SANS,0.1,0
Hallucinations,SAPS,0.52,1
Hallucinations,PSP,0.01,0
Hallucinations,Tasit,0.05,0
Hallucinations,IQ,-0.06,0
Hallucinations,CPZ,-0.05,0
Delusions,Bizarre,0.25,1
Delusions,FormalThought,0.01,0
Delusions,Flattening,0.14,0
Delusions,Avolition,0.05,0
Delusions,Anhedonia,0.18,0
Delusions,Attention,0.02,0
Delusions,Alogia,0,0
Delusions,SANS,0.14,0
Delusions,SAPS,0.6,1
Delusions,PSP,-0.16,0
Delusions,Tasit,0.06,0
Delusions,IQ,0.07,0
Delusions,CPZ,0.19,0
Bizarre,FormalThought,-0.01,0
Bizarre,Flattening,0.11,0
Bizarre,Avolition,0.11,0
Bizarre,Anhedonia,0.14,0
Bizarre,Attention,0.04,0
Bizarre,Alogia,-0.03,0
Bizarre,SANS,0.12,0
Bizarre,SAPS,0.36,0
Bizarre,PSP,-0.23,0
Bizarre,Tasit,-0.07,0
Bizarre,IQ,-0.08,0
Bizarre,CPZ,0.05,0
FormalThought,Flattening,-0.09,0
FormalThought,Avolition,0.11,0
FormalThought,Anhedonia,-0.06,0
FormalThought,Attention,0.15,0
FormalThought,Alogia,-0.03,0
FormalThought,SANS,0.04,0
FormalThought,SAPS,0.19,0
FormalThought,PSP,-0.03,0
FormalThought,Tasit,0.07,0
FormalThought,IQ,-0.05,0
FormalThought,CPZ,0.06,0
Flattening,Avolition,0.13,0
Flattening,Anhedonia,0.32,1
Flattening,Attention,-0.06,0
Flattening,Alogia,0.17,0
Flattening,SANS,0.45,1
Flattening,SAPS,0.08,0
Flattening,PSP,-0.19,0
Flattening,Tasit,-0.15,0
Flattening,IQ,-0.07,0
Flattening,CPZ,0.05,0
Avolition,Anhedonia,0.35,1
Avolition,Attention,-0.01,0
Avolition,Alogia,0.1,0
Avolition,SANS,0.47,1
Avolition,SAPS,0.16,0
Avolition,PSP,-0.45,1
Avolition,Tasit,-0.08,0
Avolition,IQ,-0.02,0
Avolition,CPZ,0.04,0
Anhedonia,Attention,-0.07,0
Anhedonia,Alogia,0.08,0
Anhedonia,SANS,0.53,1
Anhedonia,SAPS,0.2,0
Anhedonia,PSP,-0.29,1
Anhedonia,Tasit,-0.03,0
Anhedonia,IQ,0.09,0
Anhedonia,CPZ,0.09,0
Attention,Alogia,0.14,0
Attention,SANS,0.34,1
Attention,SAPS,0.07,0
Attention,PSP,-0.05,0
Attention,Tasit,-0.07,0
Attention,IQ,-0.19,0
Attention,CPZ,0.21,0
Alogia,SANS,0.48,1
Alogia,SAPS,0,0
Alogia,PSP,-0.13,0
Alogia,Tasit,-0.15,0
Alogia,IQ,-0.12,0
Alogia,CPZ,0.16,0
SANS,SAPS,0.18,0
SANS,PSP,-0.38,1
SANS,Tasit,-0.17,0
SANS,IQ,-0.12,0
SANS,CPZ,0.21,0
SAPS,PSP,-0.16,0
SAPS,Tasit,0.08,0
SAPS,IQ,-0.04,0
SAPS,CPZ,0.11,0
PSP,Tasit,0.15,0
PSP,IQ,0.14,0
PSP,CPZ,-0.17,0
Tasit,IQ,0.27,0
Tasit,CPZ,-0.02,0
IQ,CPZ,0,0